,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
0,run-1,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
1,run-2,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
2,run-1,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
3,run-2,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
4,run-1,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
5,run-2,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
6,load-1,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
7,load-2,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
8,load-1,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
9,load-2,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
10,load-1,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
11,load-2,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
12,run-1,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
13,run-2,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
14,run-1,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
15,run-2,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
16,run-1,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
17,run-2,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
18,run-1,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
19,run-2,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
20,run-1,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
21,run-2,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
22,run-1,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
23,run-2,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
24,run-1,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
25,run-2,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
26,run-1,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
27,run-2,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
28,run-1,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
29,run-2,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
30,run-1,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
31,run-2,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
32,run-1,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
33,run-2,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
34,run-1,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
35,run-2,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
36,run-1,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057803468208092484,RunTime(ms),1.73
37,run-10,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057636887608069176,RunTime(ms),1.735
38,run-2,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06480881399870382,RunTime(ms),1.543
39,run-3,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06939625260235947,RunTime(ms),1.441
40,run-4,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06978367062107466,RunTime(ms),1.433
41,run-5,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06430868167202573,RunTime(ms),1.555
42,run-6,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06518904823989571,RunTime(ms),1.534
43,run-7,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06414368184733804,RunTime(ms),1.559
44,run-8,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057273768613974804,RunTime(ms),1.746
45,run-9,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06285355122564425,RunTime(ms),1.591
46,run-1,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.468384074941452,RunTime(ms),2.135
47,run-10,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.44130626654898497,RunTime(ms),2.266
48,run-2,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.5136106831022087,RunTime(ms),1.947
49,run-3,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.46274872744099954,RunTime(ms),2.161
50,run-4,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.5698005698005697,RunTime(ms),1.755
