run,database,record,workload,latency,record_nbr
r1,redis,1000,workload a,1036,"1,000"
r1,redis,10000,workload a,2136,"10,000"
r1,redis,100000,workload a,5126,"100,000"
r1,redis,1000000,workload a,6136,"1,000,000"
m1,mongodb,1000,workload a,2536,"1,000"
m1,mongodb,10000,workload a,3636,"10,000"
m1,mongodb,100000,workload a,4196,"100,000"
m1,mongodb,1000000,workload a,5636,"1,000,000"
cb1,couchbase,1000,workload a,1826,"1,000"
cb1,couchbase,10000,workload a,3536,"10,000"
cb1,couchbase,100000,workload a,4496,"100,000"
cb1,couchbase,1000000,workload a,6136,"1,000,000"
c1,cassandra,1000,workload a,2136,"1,000"
c1,cassandra,10000,workload a,3136,"10,000"
c1,cassandra,100000,workload a,4126,"100,000"
c1,cassandra,1000000,workload a,5136,"1,000,000"
r2,redis,1000,workload b,1036,"1,000"
r2,redis,10000,workload b,3136,"10,000"
r2,redis,100000,workload b,3226,"100,000"
r2,redis,1000000,workload b,3936,"1,000,000"
m2,mongodb,1000,workload b,2542,"1,000"
m2,mongodb,10000,workload b,3642,"10,000"
m2,mongodb,100000,workload b,4202,"100,000"
m2,mongodb,1000000,workload b,5642,"1,000,000"
cb2,couchbase,1000,workload b,1832,"1,000"
cb2,couchbase,10000,workload b,2542,"10,000"
cb2,couchbase,100000,workload b,3502,"100,000"
cb2,couchbase,1000000,workload b,5142,"1,000,000"
c2,cassandra,1000,workload b,1136,"1,000"
c2,cassandra,10000,workload b,1236,"10,000"
c2,cassandra,100000,workload b,2126,"100,000"
c2,cassandra,1000000,workload b,3136,"1,000,000"
