run,database,workload,record_nbr,type,label,value
r1,redis,workload a,"1,000",overall,RunTime(ms),1064
r1,redis,workload a,"1,000",overall,Throughput(ops/sec),939.84
r1,redis,workload b,"1,000",overall,RunTime(ms),1046
r1,redis,workload b,"1,000",overall,Throughput(ops/sec),956.02
r1,redis,workload c,"1,000",overall,RunTime(ms),1044
r1,redis,workload c,"1,000",overall,Throughput(ops/sec),957.85
r1,redis,workload a,"10,000",overall,RunTime(ms),1563
r1,redis,workload a,"10,000",overall,Throughput(ops/sec),6397.952
r1,redis,workload b,"10,000",overall,RunTime(ms),1161
r1,redis,workload b,"10,000",overall,Throughput(ops/sec),8613.264
r1,redis,workload c,"10,000",overall,RunTime(ms),1140
r1,redis,workload c,"10,000",overall,Throughput(ops/sec),8771.92

m1,mongoDB,workload a,"1,000",overall,RunTime(ms),12645
m1,mongoDB,workload a,"1,000",overall,Throughput(ops/sec),79.08
m1,mongoDB,workload a,"10,000",overall,RunTime(ms),19637
m1,mongoDB,workload a,"10,000",overall,Throughput(ops/sec),509.24
