,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
0,run-1,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
1,run-2,Redis,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
2,run-1,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
3,run-2,Mongodb,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
4,run-1,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
5,run-2,Cassandra,workload a,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
6,load-1,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
7,load-2,Redis,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
8,load-1,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
9,load-2,Mongodb,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
10,load-1,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
11,load-2,Cassandra,workload i,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
12,run-1,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
13,run-2,Redis,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
14,run-1,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
15,run-2,Mongodb,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
16,run-1,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
17,run-2,Cassandra,workload b,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
18,run-1,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
19,run-2,Redis,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
20,run-1,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
21,run-2,Mongodb,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
22,run-1,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
23,run-2,Cassandra,workload c,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
24,run-1,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
25,run-2,Redis,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
26,run-1,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
27,run-2,Mongodb,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
28,run-1,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
29,run-2,Cassandra,workload d,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
30,run-1,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
31,run-2,Redis,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
32,run-1,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
33,run-2,Mongodb,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
34,run-1,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
35,run-2,Cassandra,workload f,0,0,OVERALL,Throughput(ops/sec),0.0,RunTime(ms),0.0
36,run-1,Redis,workload a,1000,1000,OVERALL,Throughput(ops/sec),971.8172983479103,RunTime(ms),1029.0
37,run-2,Redis,workload a,1000,1000,OVERALL,Throughput(ops/sec),669.7923643670463,RunTime(ms),1493.0
38,run-1,Redis,workload a,2000,2000,OVERALL,Throughput(ops/sec),1133.7868480725626,RunTime(ms),1764.0
39,run-2,Redis,workload a,2000,2000,OVERALL,Throughput(ops/sec),953.7434430138292,RunTime(ms),2097.0
40,run-1,Redis,workload a,3000,3000,OVERALL,Throughput(ops/sec),851.063829787234,RunTime(ms),3525.0
41,run-2,Redis,workload a,3000,3000,OVERALL,Throughput(ops/sec),222.0577350111029,RunTime(ms),13510.0
42,run-1,Redis,workload b,1000,1000,OVERALL,Throughput(ops/sec),702.2471910112358,RunTime(ms),1424.0
43,run-2,Redis,workload b,1000,1000,OVERALL,Throughput(ops/sec),973.709834469328,RunTime(ms),1027.0
44,run-1,Redis,workload b,2000,2000,OVERALL,Throughput(ops/sec),1030.9278350515463,RunTime(ms),1940.0
45,run-2,Redis,workload b,2000,2000,OVERALL,Throughput(ops/sec),1321.8770654329148,RunTime(ms),1513.0
46,run-1,Redis,workload b,3000,3000,OVERALL,Throughput(ops/sec),1209.1898428053205,RunTime(ms),2481.0
47,run-2,Redis,workload b,3000,3000,OVERALL,Throughput(ops/sec),627.3525721455458,RunTime(ms),4782.0
48,run-1,Redis,workload c,1000,1000,OVERALL,Throughput(ops/sec),684.4626967830253,RunTime(ms),1461.0
49,run-2,Redis,workload c,1000,1000,OVERALL,Throughput(ops/sec),971.8172983479103,RunTime(ms),1029.0
50,run-1,Redis,workload c,2000,2000,OVERALL,Throughput(ops/sec),1204.0939193257075,RunTime(ms),1661.0
