,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
1,run-1,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057803468208092484,RunTime(ms),1.73
2,run-10,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057636887608069176,RunTime(ms),1.735
3,run-2,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06480881399870382,RunTime(ms),1.543
4,run-3,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06939625260235947,RunTime(ms),1.441
5,run-4,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06978367062107466,RunTime(ms),1.433
6,run-5,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06430868167202573,RunTime(ms),1.555
7,run-6,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06518904823989571,RunTime(ms),1.534
8,run-7,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06414368184733804,RunTime(ms),1.559
9,run-8,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.057273768613974804,RunTime(ms),1.746
10,run-9,Mongodb,workload b,100,100,OVERALL,Throughput(ops/sec),0.06285355122564425,RunTime(ms),1.591
31,run-1,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.468384074941452,RunTime(ms),2.135
32,run-10,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.44130626654898497,RunTime(ms),2.266
33,run-2,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.5136106831022087,RunTime(ms),1.947
34,run-3,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.46274872744099954,RunTime(ms),2.161
35,run-4,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.5698005698005697,RunTime(ms),1.755
36,run-5,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.3861003861003861,RunTime(ms),2.59
37,run-6,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.4308487720809996,RunTime(ms),2.321
38,run-7,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.46446818392940076,RunTime(ms),2.153
39,run-8,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.46425255338904364,RunTime(ms),2.154
40,run-9,Mongodb,workload b,1000,1k,OVERALL,Throughput(ops/sec),0.36845983787767134,RunTime(ms),2.714
21,run-1,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.4096419509444602,RunTime(ms),7.094
22,run-10,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.7268174753928511,RunTime(ms),5.791
23,run-2,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.444460494005489,RunTime(ms),6.923
24,run-3,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.4566642388929352,RunTime(ms),6.865
25,run-4,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.2637432073802604,RunTime(ms),7.913
26,run-5,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.2183235867446394,RunTime(ms),8.208
27,run-6,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.1491611123879568,RunTime(ms),8.702
28,run-7,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.2812299807815501,RunTime(ms),7.805
29,run-8,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),0.9068649678062937,RunTime(ms),11.027
30,run-9,Mongodb,workload b,10000,10k,OVERALL,Throughput(ops/sec),1.6020506247997437,RunTime(ms),6.242
11,run-1,Mongodb,workload b,100000,100K,OVERALL,Throughput(ops/sec),2.1564737341499183,RunTime(ms),46.372
12,run-10,Mongodb,workload b,100000,100K,OVERALL,Throughput(ops/sec),1.9723865877712037,RunTime(ms),50.7
13,run-2,Mongodb,workload b,100000,100K,OVERALL,Throughput(ops/sec),2.0820754127714505,RunTime(ms),48.029
14,run-3,Mongodb,workload b,100000,100K,OVERALL,Throughput(ops/sec),1.9811788013868248,RunTime(ms),50.475
