run,database,workload,record_nbr,type,label,value,throughput,throughput_value,runtime,runtime_value
run-1,Redis,workload b,100000,OVERALL,Throughput(ops/sec),16002.56041,Throughput(ops/sec),16002.56041,RunTime(ms),6249
run-1,Redis,workload b,10000,OVERALL,Throughput(ops/sec),9624.639076,Throughput(ops/sec),9624.639076,RunTime(ms),1039
run-1,Redis,workload b,1000,OVERALL,Throughput(ops/sec),956.937799,Throughput(ops/sec),956.937799,RunTime(ms),1045
run-1,Mongodb,workload b,100000,OVERALL,Throughput(ops/sec),85.44817568,Throughput(ops/sec),85.44817568,RunTime(ms),11703
run-1,Mongodb,workload b,10000,OVERALL,Throughput(ops/sec),683.9009711,Throughput(ops/sec),683.9009711,RunTime(ms),14622
run-1,Mongodb,workload b,1000,OVERALL,Throughput(ops/sec),3309.61443,Throughput(ops/sec),3309.61443,RunTime(ms),30215
run-1,Cassandra,workload b,100000,OVERALL,Throughput(ops/sec),183.5535977,Throughput(ops/sec),183.5535977,RunTime(ms),5448
run-1,Cassandra,workload b,10000,OVERALL,Throughput(ops/sec),1041.883726,Throughput(ops/sec),1041.883726,RunTime(ms),9598
run-1,Cassandra,workload b,1000,OVERALL,Throughput(ops/sec),2309.682188,Throughput(ops/sec),2309.682188,RunTime(ms),43296
run-1,Redis,workload c,100000,OVERALL,Throughput(ops/sec),18843.0375,Throughput(ops/sec),18843.0375,RunTime(ms),5307
run-1,Redis,workload c,10000,OVERALL,Throughput(ops/sec),9643.201543,Throughput(ops/sec),9643.201543,RunTime(ms),1037
run-1,Redis,workload c,1000,OVERALL,Throughput(ops/sec),961.5384615,Throughput(ops/sec),961.5384615,RunTime(ms),1040
run-1,Mongodb,workload c,100000,OVERALL,Throughput(ops/sec),3277.399056,Throughput(ops/sec),3277.399056,RunTime(ms),30512
run-1,Mongodb,workload c,10000,OVERALL,Throughput(ops/sec),705.0197406,Throughput(ops/sec),705.0197406,RunTime(ms),14184
run-1,Mongodb,workload c,1000,OVERALL,Throughput(ops/sec),85.61643836,Throughput(ops/sec),85.61643836,RunTime(ms),11680
run-1,Cassandra,workload c,100000,OVERALL,Throughput(ops/sec),2448.340025,Throughput(ops/sec),2448.340025,RunTime(ms),40844
run-1,Cassandra,workload c,10000,OVERALL,Throughput(ops/sec),1120.573734,Throughput(ops/sec),1120.573734,RunTime(ms),8924
run-1,Cassandra,workload c,1000,OVERALL,Throughput(ops/sec),189.1431814,Throughput(ops/sec),189.1431814,RunTime(ms),5287
run-1,Redis,workload d,100000,OVERALL,Throughput(ops/sec),16082.34159,Throughput(ops/sec),16082.34159,RunTime(ms),6218
run-1,Redis,workload d,10000,OVERALL,Throughput(ops/sec),8688.097307,Throughput(ops/sec),8688.097307,RunTime(ms),1151
run-1,Redis,workload d,1000,OVERALL,Throughput(ops/sec),962.4639076,Throughput(ops/sec),962.4639076,RunTime(ms),1039
run-1,Mongodb,workload d,100000,OVERALL,Throughput(ops/sec),3350.757271,Throughput(ops/sec),3350.757271,RunTime(ms),29844
run-1,Mongodb,workload d,10000,OVERALL,Throughput(ops/sec),689.5125147,Throughput(ops/sec),689.5125147,RunTime(ms),14503
run-1,Mongodb,workload d,1000,OVERALL,Throughput(ops/sec),85.3970965,Throughput(ops/sec),85.3970965,RunTime(ms),11710
run-1,Cassandra,workload d,100000,OVERALL,Throughput(ops/sec),2422.891479,Throughput(ops/sec),2422.891479,RunTime(ms),41273
run-1,Cassandra,workload d,10000,OVERALL,Throughput(ops/sec),1079.447323,Throughput(ops/sec),1079.447323,RunTime(ms),9264
run-1,Cassandra,workload d,1000,OVERALL,Throughput(ops/sec),212.7206977,Throughput(ops/sec),212.7206977,RunTime(ms),4701
run-1,Redis,workload a,100000,OVERALL,Throughput(ops/sec),15330.36946,Throughput(ops/sec),15330.36946,RunTime(ms),6523
run-1,Redis,workload a,10000,OVERALL,Throughput(ops/sec),9569.37799,Throughput(ops/sec),9569.37799,RunTime(ms),1045
run-1,Redis,workload a,1000,OVERALL,Throughput(ops/sec),960.6147935,Throughput(ops/sec),960.6147935,RunTime(ms),1041
run-1,Mongodb,workload a,100000,OVERALL,Throughput(ops/sec),3001.020347,Throughput(ops/sec),3001.020347,RunTime(ms),33322
run-1,Mongodb,workload a,10000,OVERALL,Throughput(ops/sec),662.6466106,Throughput(ops/sec),662.6466106,RunTime(ms),15091
run-1,Mongodb,workload a,1000,OVERALL,Throughput(ops/sec),85.2514919,Throughput(ops/sec),85.2514919,RunTime(ms),11730
run-1,Cassandra,workload a,100000,OVERALL,Throughput(ops/sec),2319.701222,Throughput(ops/sec),2319.701222,RunTime(ms),43109
run-1,Cassandra,workload a,10000,OVERALL,Throughput(ops/sec),902.4456277,Throughput(ops/sec),902.4456277,RunTime(ms),11081
run-1,Cassandra,workload a,1000,OVERALL,Throughput(ops/sec),195.1219512,Throughput(ops/sec),195.1219512,RunTime(ms),5125
